artifact	column	position
raw	PVP01_1440900	808
raw	PVP01_1441000	809
raw	PVP01_1441100	810
raw	PVP01_1441200	811
raw	PVP01_1441300	812
raw	PVP01_1441400	813
raw	PVP01_1441500	814
raw	PVP01_1441600	815
raw	PVP01_1441700	816
raw	PVP01_1442200	817
raw	PVP01_1442300	818
raw	PVP01_1442400	819
raw	PVP01_1442500	820
raw	PVP01_1442600	821
raw	PVP01_1442700	822
raw	PVP01_1442800	823
raw	PVP01_1443000	824
raw	PVP01_1443100	825
raw	PVP01_1443200	826
raw	PVP01_1443300	827
raw	PVP01_1443400	828
raw	PVP01_1443500	829
raw	PVP01_1443600	830
raw	PVP01_1443700	831
raw	PVP01_1443800	832
raw	PVP01_1444000	833
raw	PVP01_1444100	834
raw	PVP01_1444200	835
raw	PVP01_1444300	836
raw	PVP01_1444400	837
raw	PVP01_1444500	838
raw	PVP01_1444600	839
raw	PVP01_1444800	840
raw	PVP01_1445000	841
raw	PVP01_1445100	842
raw	PVP01_1445200	843
raw	PVP01_1445300	844
raw	PVP01_1445400	845
raw	PVP01_1445500	846
raw	PVP01_1445600	847
raw	PVP01_1445800	848
raw	PVP01_1445900	849
raw	PVP01_1446000	850
raw	PVP01_1446100	851
raw	PVP01_1446200	852
raw	PVP01_1446300	853
raw	PVP01_1446600	854
raw	PVP01_1446800	855
raw	PVP01_1446900	856
raw	PVP01_1447000	857
raw	PVP01_1447100	858
raw	PVP01_1447200	859
raw	PVP01_1447300	860
raw	PVP01_1447400	861
raw	PVP01_1447500	862
raw	PVP01_1447600	863
raw	PVP01_1447700	864
raw	PVP01_1447800	865
raw	PVP01_1447900	866
raw	PVP01_1448000	867
raw	PVP01_1448200	868
raw	PVP01_1448400	869
raw	PVP01_1448500	870
raw	PVP01_1448600	871
raw	PVP01_1448800	872
raw	PVP01_1448900	873
raw	PVP01_1449000	874
raw	PVP01_1449100	875
raw	PVP01_1449300	876
raw	PVP01_1449400	877
raw	PVP01_1449600	878
raw	PVP01_1449700	879
raw	PVP01_1449800	880
raw	PVP01_1449900	881
raw	PVP01_1450000	882
raw	PVP01_1450100	883
raw	PVP01_1450200	884
raw	PVP01_1450400	885
raw	PVP01_1450500	886
raw	PVP01_1450600	887
raw	PVP01_1450700	888
raw	PVP01_1450800	889
raw	PVP01_1450900	890
raw	PVP01_1451000	891
raw	PVP01_1451300	892
raw	PVP01_1451500	893
raw	PVP01_1451600	894
raw	PVP01_1451700	895
raw	PVP01_1451800	896
raw	PVP01_1451900	897
raw	PVP01_1452000	898
raw	PVP01_1452100	899
raw	PVP01_1452200	900
raw	PVP01_1452300	901
raw	PVP01_1452400	902
raw	PVP01_1452800	903
raw	PVP01_1452900	904
raw	PVP01_1453000	905
raw	PVP01_1453100	906
raw	PVP01_1453200	907
raw	PVP01_1453300	908
raw	PVP01_1453400	909
raw	PVP01_1453500	910
raw	PVP01_1453600	911
raw	PVP01_1453700	912
raw	PVP01_1453800	913
raw	PVP01_1453900	914
raw	PVP01_1454000	915
raw	PVP01_1454100	916
raw	PVP01_1454200	917
raw	PVP01_1454300	918
raw	PVP01_1454400	919
raw	PVP01_1454500	920
raw	PVP01_1454600	921
raw	PVP01_1454700	922
raw	PVP01_1454800	923
raw	PVP01_1455000	924
raw	PVP01_1454900	925
raw	PVP01_1455100	926
raw	PVP01_1455200	927
raw	PVP01_1455300	928
raw	PVP01_1455400	929
raw	PVP01_1455500	930
raw	PVP01_1455600	931
raw	PVP01_1455800	932
raw	PVP01_1456000	933
raw	PVP01_1456100	934
raw	PVP01_1456200	935
raw	PVP01_1456300	936
raw	PVP01_1456400	937
raw	PVP01_1456500	938
raw	PVP01_1456600	939
raw	PVP01_1456700	940
raw	PVP01_1456800	941
raw	PVP01_1456900	942
raw	PVP01_1457000	943
raw	PVP01_1457100	944
raw	PVP01_1457200	945
raw	PVP01_1457400	946
raw	PVP01_1457500	947
raw	PVP01_1457600	948
raw	PVP01_1457700	949
raw	PVP01_1457800	950
raw	PVP01_1457900	951
raw	PVP01_1458000	952
raw	PVP01_1458100	953
raw	PVP01_1458200	954
raw	PVP01_1458300	955
raw	PVP01_1458400	956
raw	PVP01_1458500	957
raw	PVP01_1458600	958
raw	PVP01_1458700	959
raw	PVP01_1458800	960
raw	PVP01_1458900	961
raw	PVP01_1459000	962
raw	PVP01_1459100	963
raw	PVP01_1459400	964
raw	PVP01_1460400	965
raw	PVP01_1460500	966
raw	PVP01_1460600	967
raw	PVP01_1460700	968
raw	PVP01_1460800	969
raw	PVP01_1460900	970
raw	PVP01_1461000	971
raw	PVP01_1461100	972
raw	PVP01_1461200	973
raw	PVP01_1461300	974
raw	PVP01_1461400	975
raw	PVP01_1461500	976
raw	PVP01_1461600	977
raw	PVP01_1461700	978
raw	PVP01_1461800	979
raw	PVP01_1461900	980
raw	PVP01_1462000	981
raw	PVP01_1462100	982
raw	PVP01_1462200	983
raw	PVP01_1462400	984
raw	PVP01_1462500	985
raw	PVP01_1462600	986
raw	PVP01_1462700	987
raw	PVP01_1462800	988
raw	PVP01_1462900	989
raw	PVP01_1463000	990
raw	PVP01_1463200	991
raw	PVP01_1463300	992
raw	PVP01_1463400	993
raw	PVP01_1463500	994
raw	PVP01_1463600	995
raw	PVP01_1463800	996
raw	PVP01_1463900	997
raw	PVP01_1464000	998
raw	PVP01_1464100	999
raw	PVP01_1464200	1000
raw	PVP01_1464300	1001
raw	PVP01_1464400	1002
raw	PVP01_1464500	1003
raw	PVP01_1464600	1004
